REEF,SITE,HAB,YEAR,ORGANISMO,COBERTURA,PC1_AMBIENTAL,PC2_AMBIENTAL,DEPTH,LAT,LONG,QUADRAT_ID
ARC,FAROL,RO,2006,CCA,7.718120805369128,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_0
ARC,FAROL,RO,2006,CCA,9.797297297297296,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_1
ARC,FAROL,RO,2006,CCA,5.369127516778524,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_2
ARC,FAROL,RO,2006,CCA,8.561643835616438,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_3
ARC,FAROL,RO,2006,CCA,4.391891891891892,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_4
ARC,FAROL,RO,2006,CCA,13.087248322147651,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_5
ARC,FAROL,RO,2006,CCA,13.10344827586207,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_6
ARC,FAROL,RO,2006,CCA,5.498281786941581,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_7
ARC,FAROL,RO,2006,CCA,6.802721088435375,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_8
ARC,FAROL,RO,2006,CYANO,0.0,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_9
ARC,FAROL,RO,2006,CYANO,0.0,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_10
ARC,FAROL,RO,2006,CYANO,0.0,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_11
ARC,FAROL,RO,2006,CYANO,0.0,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_12
ARC,FAROL,RO,2006,CYANO,0.0,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_13
ARC,FAROL,RO,2006,CYANO,0.0,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_14
ARC,FAROL,RO,2006,CYANO,0.0,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_15
ARC,FAROL,RO,2006,CYANO,0.0,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_16
ARC,FAROL,RO,2006,CYANO,0.0,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_17
ARC,FAROL,RO,2006,MACROALGAE,16.44295302013423,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_18
ARC,FAROL,RO,2006,MACROALGAE,22.2972972972973,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_19
ARC,FAROL,RO,2006,MACROALGAE,21.476510067114095,-0.3331308228781938,-0.9938220199188424,5.8,-17.97,-38.69,FAROL_RO_20
